NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
"Sustainable Electricity for La Gonave, Haiti: Creating Jobs while Providing Power",43614,"Sustainable Electricity for La Gonave, Haiti: Creating Jobs while Providing Power",James Madison University, ,2008-10-10,2008-10-17, , ,"Sustainable Electricity for La Gonave, Haiti:   Creating Jobs while Providing Power      Three hurricanes in three weeks struck the island of La Gonave, Haiti, in September 2008 with devastating loss of life, homes, and crops. Unfortunately, due to a lack of electricity and communication with the outside world, the 100,000 inhabitants do not always know that a hurricane is coming. Some have cell phones but do not always have access to electricity to keep them charged. While there is a scarcity of electrical power, there is an abundance of power from the sun. Simple solar photovoltaic (PV) systems could provide electricity to improve emergency communication and other aspects of life. We propose the following activity: 1) investigate the feasibility of  manufacturing  simple PV systems using new, used and damaged solar cells; 2) experiment here and in Haiti with different-sized systems, lighting, and various sizes of batteries to identify the best systems for La Gonave; 3) establish a pilot program on the island to investigate the feasibility of constructing simple solar modules there; 4) train people on the island to construct, install and maintain simple PV systems and run a small business; and 5) create a business model in which Haitian diaspora in the U.S. purchase PV systems manufactured in a cooperative on La Gonave for their family members in Haiti. Student interns with the  Haiti Project  and students in the combined Bachelor s in Integrated Science and Technology/Master s in Business Administration program will be involved in many aspects of the project.   ",1005930,Not Accepted,5930-08,0017000001LSVvpAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Creating an entrepreneurial culture at Mexican institutions of higher learning,50000,Creating an entrepreneurial culture at Mexican institutions of higher learning,University of California-San Diego, ,2008-10-10,2008-10-17, , ,"The William J. von Liebig Center at UC San Diego in partnership with the National Autonomous University in Mexico, Campus Morelos propose to design an educational program on entrepreneurism and early stage technology commercialization aimed at young faculty and students in science and engineering from Mexican Universities. The goal of the program will be to expose young Mexican technologists to the translation of university innovations, and the creation of technology based companies. The courses are expected to encourage entrepreneurial thinking, decrease risk aversion and improve communication between the scientific and the local business community. The outcome will be the creation of an entrepreneurial culture on the Mexican campus, and the formation of future technology leaders that will positively impact economic growth in Mexico. The program will extract key elements of the von Liebig entrepreneurism curricula and will also involve the participation of representatives from the local Mexican business and entrepreneurial community.",1005933,Invited Resubmit,5933-08,0017000001LSW8yAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
GlobalResolve:  Development of a Sustainable Gelfuel Business in Rural Ghana,50000,GlobalResolve:  Development of a Sustainable Gelfuel Business in Rural Ghana,Arizona State University,45150,2008-10-10,2008-10-20,2011-05-31,2009-02-01,"GlobalResolve, a social entrepreneurship program at Arizona State University, respectfully requests a Sustainable Vision grant of $50,000 to support the expansion of a successful project in village-based entrepreneurship that has resulted in the production of smokeless cooking fuel in the rural west African village of Domeabra, Ghana.  More than 2 million children in the developing world are dying every year from acute respiratory disease caused by fumes from indoor cooking fires. To address this problem, in 2008 we designed, built, shipped and installed a gelfuel production facility in Domeabra, and the project is on the verge of making dramatic improvements in public health throughout the region.  The next step is helping to make this startup business successful and replicable.    In partnership with the Kwame Nkrumah University of Science and Technology in Kumasi, Ghana, the Kumasi Institute of Technology, Energy and Environment, and the village chief and elders in Domeabra, this project has the primary objectives to:   ·      Create a sustainable business model in Domeabra, Ghana, to produce, market and distribute both gelfuel and improved stoves in the region.   ·      Monitor the acceptance and market penetration of gelfuel both in Domeabra in the nearby city of Kumasi.   ·      Continue the development of ultra-low-cost stoves designed for gelfuel and to be produced in Domeabra.   Because the Sustainable Vision program supports initiatives that define replicable models for sustainable entrepreneurship through innovative collaborations, we hope that NCIIA will view this project as a natural extension of its efforts and respond favorably to this request.",1005934,Funded,5934-08,0017000001LSVsUAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Bentley MicroCredit Initiative,50000,Bentley MicroCredit Initiative,Bentley University, ,2008-10-11,2008-10-17, , ,"During the spring semester of 2008, nine students participated in an honors undergraduate-level reading seminar (using journal articles and cases) to develop a better understanding about micro-lending or -enterprises. One class deliverable required students to develop a proposal recommending how Bentley might address some of the referenced poverty issues by becoming more engaged in micro-lending projects domestically (in the short-term) and internationally (in the longer-term). The proposal became the Bentley MicroCredit Initiative (BMI).   This proposal solicits grant funds to help accomplish the following:     To finalize the development and implementation of the BMI model, including    o to further develop the current undergraduate course offering (and begin development of a graduate offering) and marshall both through the school s governance process for permanent approval and addition to the Bentley curriculum;    o to continue building the microcredit fund by soliciting contributions from the Bentley community toward our fund goal of $300,000 which would be lent to micro-entrepreneurs in the metropolitan Boston area;    o to continue the development of a student organization, the Bentley Microfinance Club, that will oversee and manage the fund.        To facilitate the  open sourcing  of the knowledge, methods and processes that characterize the BMI model through social networking technologies to recruit and facilitate other colleges and universities in the US and around the world to adopt and modify the BMI model in their locations.   ",1005937,Not Accepted,5937-08,0017000001MBMDZAA5,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
WinPower,45600,WinPower,Washington University in St Louis, ,2008-10-12,2008-10-20, , ,"Starvation, respiratory health, and economic stagnation have a profound impact in lives of people living in Madagascar s Mahabo region as well as many parts of the developing world.  A contributing factor for many of these issues is the absence of a reliable source of power.  Over the past year, we have designed and built a low-cost windmill, WinPower, that can be constructed and maintained locally using indigenous materials, labor, and expertise.  WinPower has the potential to harness wind resources available in these impoverished regions and could address the aforementioned issues by being adapted to irrigate crops, mill grain, and power LED lighting.  The deployment of WinPower, coupled with our ongoing relationship with target Malagasy communities, will assure prototype success and will serve as a model for delivering sustainable power to many parts of the developing world.      For a video of the full-scale WinPower prototype, please visit www.winpowerenergy.blogspot.com.",1005939,Not Accepted,5939-08,0017000001LSW9nAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Community Garden Irrigation Project, Kumudo, Ethiopia",10000,"Community Garden Irrigation Project, Kumudo, Ethiopia",Princeton University, ,2008-10-12,2008-10-21, , ,"Kumudo is a small rural community of approximately 1000 people in Ethiopia. Its inhabitants depend on agriculture as a means of subsistence but the village has a seven-month dry season during which growing crops is impossible without irrigation. The villagers survive on grain harvested during the rainy season but food supplies invariably dwindle in February - two months before the rains start again in April. As a result, many of the people suffer from nutritional deficiencies.    EWB-Princeton plans to work with community in order to address the need for irrigation, by constructing a system that will pump water from the village river to the fields. Kumudo s  village council has designated these fields as the site as a cooperative community garden, where the inhabitants will be able to grow vegetables all through the dry season. The successful completion of the project will benefit approximately 400 people.      Objectives      - Design an irrigation system and test a prototype.   - Work with the inhabitants of Kumudo to set up a fully functional irrigation system to bring water to a 5 acre test area.    - Extend the irrigation system to serve another 10 acres of agricultural land on successful irrigation of the test site.          EWB-Princeton plans to work with community in order to address the need for irrigation, by constructing a system that will pump water from the village river to the fields. These fields will serve as a cooperative community garden. The successful completion of the project will benefit approximately 300 people.             ",1005941,Not Accepted,5941-08,0017000001LSW9FAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Sustainable Shelters: Developing a sustainable building solution for small villages near Beira, Mozambique.",40000,"Sustainable Shelters: Developing a sustainable building solution for small villages near Beira, Mozambique.",Brigham Young University, ,2008-10-13,2008-10-17, , ,"A team of undergraduate students from Brigham Young University has partnered with an international humanitarian organization, Care For Life, to provide a sustainable building solution for villages in Mozambique. The three main project objectives are:     Design a weather resistant building solution(s) that can be used to build wells, latrines, and houses that will last a minimum of five years.     Design an inexpensive building solution(s) that will be of little to no cost to the local villagers constructed entirely of local materials and resources.       Travel to Mozambique to implement the building solution and teach local villagers how to take full advantage of this new solution to improve their quality of life and independency.      During the rainy season the latrines often cave in causing the sewage to overflow and contaminate the water supply.  The wells and houses also do not last long in adverse weather and must be rebuilt often.  This project will address the issue of poor sanitation due to collapsing wells and latrines by providing a solution to stabilize and support the collapsing walls.     The Sustainable Shelters team will design, build, and test prototype materials during the Fall 2008-Winter 2009 semesters.  The team will then optimize the best design solution and travel to Africa in late April or early May 2009 to implement the building solution.  Funding is needed to cover the costs of materials, resources, faculty time, and travel to implement the project in Mozambique.   ",1005943,Not Accepted,5943-08,0017000001LSVv8AAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Harnessing Telecommunication for Health and Education in the Amazon Region of Peru: A Model for Development in  Remote Areas,50000,Harnessing Telecommunication for Health and Education in the Amazon Region of Peru: A Model for Development in  Remote Areas,University of Colorado at Boulder, ,2008-10-13,2008-10-17, , ,"This proposal discusses an integrated plan of development in the region between the Napo and Amazon rivers to the northeast of Iquitos, Peru. In partnership with Peruvian Non Governmental Organizations and Peruvian Universities, we propose to bring communications and computer technology for health and education to the villages of the region of Peru between the Napo and Amazon rivers. The technical students from the involved Universities (in Peru and the United States) carrying out the bulk of this work will profit from the use of this remote area as a communications system laboratory as the indigenous people of the area profit from communications networking with their functionally distant neighbors as well as receiving crafted educational information from involved organizations. We will build from existing   telecommunications infrastructure in order that technical innovations are introduced gradually in a noninvasive and cost effective manner. Support to sustain this effort will come in part from an educational program within the University of Colorado system where the results of this Peruvian effort at sustained development will be disseminated in the same classroom environment where students learn the basics of sustained development and economic and cultural details of the Amazon region. Bringing education that includes aspects of social entrepreneurship should develop local business (in the health and renewable energy sector in particular) that will lead to overall sustainability.          ",1005944,Not Accepted,5944-08,0017000001LSW2dAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Solar-powered Desalination System for Remote Rural Communities,49594,Solar-powered Desalination System for Remote Rural Communities,New Mexico State University-Main Campus, ,2008-10-13,2008-10-17, , ,"The goal of this proposal is to refine a new solar-powered desalination process that we have recently developed and demonstrated at pilot scale. The proposed process uses low-grade heat sources such as solar energy or process waste heat to produce high quality water from brackish waters and industrial effluents. Results of the pilot scale version demonstrated that the process can be operated using solar energy without reliance on grid power. Findings of this pilot scale study have resulted in a PhD dissertation, three journal papers, and seven conference presentations. A patent application has been filed and is currently in pending status. The technology has been licensed to a for profit company- Cascade Eco Solutions, who will be commercializing this technology. Under this proposal, we propose to refine this process by developing three-stage operation to improve its energy efficiency and output. Specific tasks to be completed under this proposal includes developing the three-stage design, process modeling, performance analysis, process optimization, sustainability and cost analysis, and economic evaluation. Cascade Eco Solutions will be collaborating with us in building a pre-production prototype version of the system and conducting long term tests. Outcomes of this grant will include an MS thesis, at least two more journal publications, and a design manual for marketing the process in developing and under-developed countries.",1005945,Not Accepted,5945-08,0017000001MBMKFAA5,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Designing Sustainable Electricity Grids in Nicaragua,49000,Designing Sustainable Electricity Grids in Nicaragua,University of California-Berkeley, ,2008-10-13,2008-10-21, , ,"The Atlantic Coast of Nicaragua is comprised of some of the poorest communities in the western hemisphere. Eighty percent of these isolated populations do not have access to electricity. Those communities fortunate enough to have received electricity are served by government operated diesel powered microgrids (small distribution grids not connected to the central grid) run at economic losses often on the order of 40%. If a more efficient model for power provision can be proven to the government, it will be a catalyst for economically reshaping the operation of their current microgrids, while increasing access to energy services. Three primary objectives of the project include:      1. Decrease demand in the Orinoco microgrid by introducing existing, proven technologies which will meet the energy needs of the users while vastly reducing the electricity demand.    2. Work closely with the communities and government to develop a more equitable tariff system which will increase the net welfare of the poor, encourage energy efficiency, and reduce operational losses.   3. Perform power system analysis of the existing Orinoco microgrid in order to demonstrate the technical and economic advantages for integrating wind generation into the diesel microgrid.      This project will produce immediate, measurable benefits through the increase in electricity access via demand side management based on tariff restructuring and energy efficiency. The project will serve as a proof of concept that the government of Nicaragua can increase access and provide energy services with greater economic efficiency and cleaner technologies for 32 similar microgrids on the Atlantic Coast.      ",1005946,Not Accepted,5946-08,0017000001LSVsvAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Building a Global Sustainable Supply Chain for Appropriate Technology: Powermundo,50000,Building a Global Sustainable Supply Chain for Appropriate Technology: Powermundo,Colorado State University,45800,2008-10-13,2008-10-20,2010-08-31,2009-02-01,"Over three billion people do not have access to appropriate technology to meet their basic needs for purifying water, lighting homes, or cooking meals; however, there are hundreds of affordable products that can safely fulfill people's daily needs while protecting the environment.  If these products exist, then why do billions of people still lack access to these simple lifesaving environmentally friendly technologies?       There is an enormous gap between people developing appropriate technology and people living at the base of the economic pyramid. This void creates a great entrepreneurial opportunity to build an innovative supply chain that connects people living in poverty to a network of sustainable resources.        Our student enterprise, PowerMundo, is building a network to bring a suite of appropriate products to people in the two-thirds world.  PowerMundo is a wholesale distribution enterprise that builds and manages a network of customers, retailers, and suppliers to design, develop, and disseminate a suite of appropriate technology products.       PowerMundo s goal is to establish a multinational distribution network to improve people s lives and conserve the natural environment.  Our top objectives for 2009 are:      1.  Develop a sustainable commercial organization that provides base of the pyramid market research to technology product inventors and innovators. Market research may include identifying product preferences, testing proto-types, and defining customer needs.      2.  Build a commercial appropriate technology supply chain in Peru.       3.  Use an innovative and sustainable supply chain to commercially deliver over 10,000 appropriate technology products to people in need.    ",1005947,Funded,5947-08,0017000001LSVvwAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Solar Powered Icemaker for Rural Thailand and Mexico,49875,Solar Powered Icemaker for Rural Thailand and Mexico,San Jose State University, ,2008-10-13,2008-10-20, , ,"Many poor rural populations are located in hot sunny climates without access to electricity.  These populations would benefit immensely from a solar thermal technology that provides cooling, such as an electricity-free solar icemaker.  This capability would enable remote villages to preserve food and store vaccines, as well as provide a mechanism for owners to make a living.        We have constructed and tested a proof-of-concept prototype via an engineering student project during the 2007-2008 academic year at San Jose State University.  The present team includes engineering, business, and foreign language disciplines.  The focus for this year s project includes:        Scale prototype to produce 100 lbs of ice per day     Produce detailed business plan for small icemaking enterprises in rural Mexico and Thailand     Install solar icemakers in rural Mexico and/or Thailand, and train local organization on business plan and engineering maintenance      The targeted locations have no access to electricity and the average income is less than $3 USD per day.  We will work closely with our contacts in both countries to craft prototypes and business plans that are viable for the local residents of both locations.   ",1005949,Invited Resubmit,5949-08,0017000001LSVznAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
2009 DesignBuildBLUFF Program,25000,2009 DesignBuildBLUFF Program,University of Utah, ,2008-10-13,2008-10-21, , ,"First year graduate students of architecture partner with nonprofit architectural design/build organization DesignBuildBLUFF to design and build off-grid homes on the Navajo Nation Indian Reservation located in the four corners area of Utah, and medical structures for caregivers to AIDS-orphaned children in Bira, Uganda. The structures are designed and built around found, donated and recycled materials, as well as materials harvested from the surrounding landscape such as dirt, rubber trees, substratum, and river reeds. Our objectives are:       To teach students of architecture hands-on, alternative design/build techniques       To open the collective, global minds of students, designers and builders to unconventional and innovative design/build options    To benefit needy Navajos and Ugandans       ",1005951,Not Accepted,5951-08,0017000001LSVnoAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Development and Validation of a Model for Sustaining Technology-Based Social Ventures,50000,Development and Validation of a Model for Sustaining Technology-Based Social Ventures,Pennsylvania State University-Main Campus, ,2008-10-14,2008-10-20, , ,"Numerous university initiatives focus on technology-based social ventures to address needs of people living in poverty. These endeavors are well-meaning, creatively designed, and enthusiastically deployed.  However, for many of them, the sustainable impact does not match the sustainable vision set forth at the outset of the projects.        For successful BOP ventures, the implementation process is as important as the product. Answers for actualizing sustainable vision projects can be found by uncovering the ""sticky information"" related to societal context of the problem, and acting to overcome identified impediments in a systematic fashion.  Finding the optimum distribution of time, money and sweat equity between the communities and partnering universities and organizations is critical to sustainability. The search for equilibrium in this extremely complex context necessitates a systems thinking approach. We are partnering with numerous organizations to design and build a sustainable, replicable and scalable eco-village system in Kenya. This presents an excellent opportunity to develop and validate a methodology to successfully engage in BOP ventures.       Primary objectives are:       1. To develop a structured methodology (and practical tools) to ensure equity from and between various stakeholders involved in technology-based ventures for BOP customers. The model will incorporate appropriate community assessment, stakeholder analysis and social deconstruction tools.       2. To validate and refine methodology (and tools) through design, construction and assessment of multiple appropriate technology-based ventures at the eco-village.       3. To create a for-profit entrepreneurship education center at the eco-village that conducts workshops (based on the methodology) on commercialization of appropriate technologies and micro-enterprise development.   ",1005954,Invited Resubmit,5954-08,0017000001MBMSkAAP,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Building A Global Network to Support Sustainable Information and Communication Technologies Entrepreneurship in Senegal,50000,Building A Global Network to Support Sustainable Information and Communication Technologies Entrepreneurship in Senegal,Pace University-New York,32550,2008-10-14,2008-10-16,2010-12-31,2009-05-01,"Mobile phone subscribers have risen to more than 250 millions in 2007 in Africa. Thus, it appears to be more relevant to look at mobile phones rather than traditional computers for bridging the digital divide. Who will develop the mobile phone applications that will have a social impact on the populations of Africa? Well-prepared African students.      We were awarded a NCIIA Sustainable Vision grant in 2007. The main objectives of the grant were to provide Senegalese students of the University of Thiès with technical knowledge in Web design and mobile applications development and a culture of entrepreneurship to create commercial quality products for  real clients , the women entrepreneurs coached by the Women Business Center of National Council of Negro Women in Saint Louis in Senegal. This new proposal extends our previous work by: 1) integrating more students, faculty, and universities, 2) involving stakeholders of the ICT world, and 3) including more  real clients  from local communities, to 1) facilitate transfer of knowledge, 2) replicate and sustain our model of working, 3) facilitate its integration in the curriculum of universities; and 4) scale by increasing the number of developed Web sites and mobile applications and their beneficiaries, as well as the number of potential created ICTs startups. This will be achieved through the support of a network including universities, companies, NGOs and associations. A well-designed dissemination strategy for the project has been planned including the creation of a social network and a workshop for faculty for wider adoption of our model.    ",1005956,Funded,5956-08,0017000001LSVuEAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Sustainable Alternate Source of Energy for Ghana,50000,Sustainable Alternate Source of Energy for Ghana,Pennsylvania State University-Main Campus, ,2008-10-14,2008-10-20, , ,"Penn State Wilkes-Barre and the University of Cape Coast, Ghana, propose using education in and training on solar technology to enhance the economic stability and general life quality of average Ghanaians, especially those living in remote rural areas,       Specifically, funding of this proposal will provide for::       Constructing a solar unit at the University of Cape Coast;      Teaching solar technology to UCC technology students      Developing solar technology as  a viable business opportunity       Training students in how to operate solar technology apparatus.      Introducing solar technology as a business opportunity is especially important in Ghana, since solar is a cheap, reliable and plentiful power source. Theseattributes are especially important in a country with many remote areas still  lacking access to an electrical grid. Promotion of a solar power industry would not only provide the promise of steady jobs, but could also result in an increase in the standard of living and education for all Ghana s citizens.      Since Ghanaians have always used the sun s energy in limited ways, this partnership anticipates public interest in and acceptance of the many ways technology can multiply applications solar power applications. The project can create a ready market that will attract local entrepreneurs and lead to self sustainability commercially.      Expected project outcomes include:      experiential solar technology education for the public affordability for the average person      electric power sustainability in off-grid remote villages      facilitating the provision of basic needs such as safe drinking water and light       an avenue for commercial activities.   ",1005957,Not Accepted,5957-08,0017000001MBMSkAAP,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Low-Cost Solar/Wind Drip Irrigation for Small Farmers in Developing Countries,49989,Low-Cost Solar/Wind Drip Irrigation for Small Farmers in Developing Countries,University of Massachusetts-Lowell,46839,2008-10-14,2008-10-17,2011-12-31,2009-02-01,"The aim of this project is to provide small farmers in developing countries with an affordable irrigation method that promotes the sustainable use of water and energy. To sustain the world in the future, 60% of the extra food required must come from irrigated agriculture and developing countries hold 75% of the world s irrigated area (FAO, 1999), where rural small farmers cultivate more than half of this agricultural land and 80% lacks electricity services (World Bank, 2000).  The world s food security relies on improving irrigation techniques for smallholder agriculture in developing countries. The common irrigation practice is flooding with seasonal water, gravity fed systems, or diesel/gasoline powered pumps. Solar pumps are clean, efficient and have lower maintenance. Drip irrigation (DI) is 40% more efficient than furrow and takes better advantage of solar and wind pumping because of its low pressure-low flow features (Burt & Styles, 1999).  Depending on the crop cycle, DI could allow four harvests per year instead of one in the rainy season, generating enough income to pay for the system. This work would be sustained as part of a ten-year-old program with indigenous Peruvian farmers.  Objectives:     Provide Peruvian small farmers, renewable energy (RE) entrepreneurs and engineers with the ability to design, install, and transfer RE DI technology..      Develop an agricultural microenterprise model with three small farmers through the installation of solar/wind DI systems.      Improve health of consumers of project crops and farm workers by promoting organic techniques and introducing high nutrition value crops.   ",1005958,Funded,5958-08,0017000001LSW2YAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Sustainable Community-Based Arsenic Removal Systems in Remote Villages of Cambodia in South East Asia,47250,Sustainable Community-Based Arsenic Removal Systems in Remote Villages of Cambodia in South East Asia,Lehigh University,47250,2008-10-14,2008-10-17,2010-12-31,2009-04-01,"An arsenic-related health crisis is emerging in Cambodia in the same pattern of drinking water poisoning that devastated parts of Bangladesh and West Bengal in India.   Although the exact number cannot be confirmed at this time, well over two million people in the floodplain between Bassac and Mekong rivers in Kandal province of Cambodia are routinely exposed to arsenic poisoning through ingestion of drinking water from naturally contaminated wells. Symptoms of chronic arsenic poisoning, namely, skin lesions and hyperkeratosis in palms, are already apparent among many villagers.      During the last ten years, Lehigh University has actively participated in a major arsenic mitigation project in the villages of Indian subcontinent in collaboration with Water For People (WFP) in USA and Bengal Engineering and Science University (BESU) in India.  In the proposed project we would like to bring our experience and expertise in remote villages of Cambodia to mitigate the emerging arsenic crisis.  In this regard, we will collaborate with Columbia University in USA and Institut de Technologies du Cambodge in Cambodia.  In addition, we will develop a partnership with the Lien Institute For the Environment (LIFE) in Nanyang Technological University (NTU) in Singapore. Specific objectives of the project are to:      Install community-based sustainable arsenic removal systems for villagers and school children using indigenous materials;      Operate, maintain and micro-finance the treatment units through active participation of village women and create partial employment;      Develop a reliable water laboratory with arsenic analysis capability at the Institut de Technologie du Cambodge.    ",1005961,Funded,5961-08,0017000001LSVoHAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Urban Wood Exchange -- An IIT Interprofessional Project,50000,Urban Wood Exchange -- An IIT Interprofessional Project,Illinois Institute of Technology, ,2008-10-14,2008-10-17, , ,"The goal of Urban Wood Exchange is to create an electronic marketplace to connect consumers and sellers of urban wood.        Through the funding/completion of this project, the following objectives are expected to be achieved:          * Creation of a viable urban wood industry that would generate demand for urban wood.       * Creation of job opportunities for people throughout the entire social class spectrum, thus, helping in elevating poverty.       * Promotion of an innovative, environmentally sustainable business.         Our business model is tailored toward a brokerage model, in which the Urban Wood Exchange would be the market-maker, bringing sellers and buyers together and facilitating transactions in business-to-business (B2B), business-to-consumer (B2C), or consumer-to-consumer (C2C) markets.         As an internet-based business, advertising of green products on the website is expected to be a substantial part of our income.       In this task of creating a business opportunity out of a net societal liability, we would be working in collaboration with the Illinois Wood Utilization Team, the City of Chicago Department of Forestry, the City of Chicago Department of Streets and Sanitation, the office of Chicago s 3rd Ward Alderman, Pat Dowell, the office of Illinois U.S. Senator Dick Durbin, the Morton Arboretum, and the USDA Forest Service; all of which have shown support for our initiative.",1005967,Not Accepted,5967-08,0017000001LSWAZAA5,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Development of a Holistic, Municipality-Marketed Solar Water Disinfection System for Developing Communities",50000,"Development of a Holistic, Municipality-Marketed Solar Water Disinfection System for Developing Communities",Arizona State University, ,2008-10-14,2008-10-16, , ,"The Engineers Without Borders Chapter at Arizona State University (EWB-ASU), partnering with the SODIS (Solar Water Disinfection) Reference Center, is pioneering an economically self-sustaining model for implementing a novel solar water disinfection system in developing communities.  The top three objectives of the initiative are:     Development of new technology, through research at Arizona State University, which will lead to a scaled-up version of the existing SODIS system for emergency water disinfection and will be tested in the village of Tsuarku, Ecuador (population 350), an Amazonian community of the indigenous Shuar tribe.       Installation of a pilot project in a household and elementary school in Tsuraku, in collaboration with Peace Corps volunteers in the Pastaza Municipality and the Escuela Politecnica Nacional (EPN) in the capitol city Quito, based on the research outcome.     Full scale implementation of the technology in Tsuraku. This will involve the development and implementation of the business model, requiring non-profit manufacturing and marketing by a government agency, in conjunction with the local Pastaza Municipality.    Implementation of the disinfection system requires that several pre-requisites be met. These pre-requisites include a stable water supply, water treatment to remove turbidity, a functioning water board, and ties to local organizations to assist with initial maintenance and education efforts. In addition to the technology-development aspect of this project, our holistic model for developing a sustainable, safe and consistent water supply is replicable for developing communities worldwide.      ",1005968,Invited Resubmit,5968-08,0017000001LSVsUAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Empowering Malawians With Disabilities,50000,Empowering Malawians With Disabilities,Arizona State University, ,2008-10-15,2008-10-20, , ,"A multinational humanitarian partnership between Arizona State University and the University of Malawi Polytechnic, now entering its third year, is focused on empowering Malawians with physical disabilities. In concert with Paul Polak s  Out of Poverty  paradigm shift to include the impoverished as part of the solution, the overall goal is to develop a sustainable, rehabilitation engineering technology to empower disabled Malawians to pursue vocational training and associated business opportunities. If successful, it has the potential to truly revolutionize local Malawian communities to achieve lasting socioeconomic stability and mobility. Our strategy is to build upon our continuing efforts to first mobilize disabled Malawians and then provide additional empowerment mechanisms and resources to achieve their full integration into society. This will be achieved through vocational and entrepreneurship training opportunities made available via a proposed Empowerment Centre facility constructed from the now-famous  box  shipping containers. This service-learning, educational, and community-based empowerment partnership will be sustained by students and faculty from ASU and the U Malawi Polytechnic and community partners in the US (Sustainable Resources, Ltd) and Malawi (Care and Support Network & Malawians Against Physical Disabilities). The Empowerment Centre concept has elements of expandability, scalability, and flexibility that can be adopted and adapted for duplication anywhere in Africa and elsewhere in the world where basic individual human and community needs remain unmet.    Objectives     Create sustainable multinational, service-learning educational and community-based empowerment partnership      Co-develop ASU/Malawi student-driven sustainable rehabilitation engineering health care technology      Develop Prototypical Empowerment Centre      ",1005969,Not Accepted,5969-08,0017000001LSVsUAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
CalSolAgua,50000,CalSolAgua,University of California-Berkeley, ,2008-10-15,2008-10-20, , ,"To address the need for clean and inexpensive energy sources for households, the CalSolAgua Team has developed an innovative solar water heating system capable of addressing the hot water needs for bathing and laundry: two of the highest energy needs facing households. Through detailed design work, after three generations of prototyping, our team developed a solar water heater that is capable of retailing for half the price of competing water tank heaters. By reducing the need for traditional energy sources, solar water heating can reduce energy costs for Guatemalan households and reduce global environmental impacts. Based on the prototype developed during the past 12 months, the group seeks support for additional prototype testing and marketing studies to determine the impact and marketability of its product. Partnering with a development infrastructure NGO in Guatemala, the team will produce an implementation plan that will allow the NGO to manufacture these heaters locally, providing jobs to local community members. The team is an interdisciplinary group of six current and former graduate students at UC-Berkeley. The students are supported by professors and engineers with backgrounds in technology development and business ventures in developing countries. By developing a product and implementation plan that is easily replicable throughout the developing world, our solar water heater has the potential to meet a crucial need for over 120 billion households in the emerging middle class, while reducing carbon emissions equivalent to taking 23 million US cars off the road.",1005970,Not Accepted,5970-08,0017000001LSVsvAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
