NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
Lower Limb Prosthesis Design:  A Community-Based Approach,46829,Lower Limb Prosthesis Design:  A Community-Based Approach,California Polytechnic State University-San Luis Obispo, ,2010-10-11,2010-10-18, , ,"Walking is such a critical aspect of everyday life, particularly in developing countries, that it is often taken for granted.  There are 300,000-400,000 known landmine-related amputees, of whom 20% are children. In all, it is estimated that there are up to 500,000 total amputees worldwide, and that 5,000-10,000 are added to this number each year.  Obtaining high quality prostheses for this population can be difficult and cost prohibitive.  Engineering students and faculty (from mechanical, materials, and biomedical engineering) are teaming with a local prosthetist, the Vida Nueva Clinic in Honduras, and the Cal Poly Engineering World Health Club to address the problem.  The main objectives of our partnership are to:      1) design high performing, inexpensive lower limb prostheses that can be manufactured in the local community      2) create meaningful experiential learning in multiple courses (e.g., senior capstone design, entrepreneurial engineering, introduction to biomedical engineering design), and      3) develop a sustainable business model that can be expanded to other clinics worldwide.      The project team will investigate and try to leverage off of earlier successful programs, including the Mercer Universal Socket for Amputees and the LeTourneau knee.  Challenges for the Nueva Clinic include integration of these different components, creating a universal ankle joint that can articulate with different feet, and designing a more durable and functional foot.  Helping the clinic to manufacture and fit their own prostheses will decrease their dependence on foreign donations, and can serve as a model for clinics in other parts of the developing world.",1008008,Invited Resubmit,8008-10,0017000001LSVoGAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Wind Power for Pure Water,50000,Wind Power for Pure Water,Rice University, ,2010-10-12,2010-10-21, , ,"One billion persons worldwide lack access to clean water. While many NGOs and governments are working to relieve this crisis, the water purification technologies currently available for impoverished communities are not optimal. In cases where harmful substance or salt contaminate the feed water, simple filtration techniques are not adequate and more robust systems, such as reverse osmosis, is needed.    However, current reverse-osmosis systems require access to electrical grids or diesel fuel many NGOs do not use them because they are too complex. Our wind-powered water purification systems overcome these limitations. Our systems use the mechanical energy from the wind to pull water through reverse-osmosis systems, producing enough clean drinking water each day to sustain a village of up to 1,000 persons. Lifetime usage costs are much lower than electric or diesel-powered reverse-osmosis and its operational simplicity is such that village residents can perform maintenance duties. Our team plans to produce and sell these units to NGOs and governments who provide relief efforts for such impoverished communities.    ",1008015,Invited Resubmit,8015-10,0017000001LSW8HAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Building a Self-Reliant Economy Through a Collaborative Appropriate Technology School,50000,Building a Self-Reliant Economy Through a Collaborative Appropriate Technology School,California Polytechnic State University-San Luis Obispo, ,2010-10-12,2010-10-18, , ,"California Polytechnic State University (CP) and the community of San Pablo (SP), Tacana, Guatemala, are jointly developing a two-month Appropriate Technology summer school,  Guateca , for CP and SP students in SP.  Guateca aims to improve the quality of life for both Guatemalans and North Americans by developing local sustainable businesses, while building community fabric and resources.  An interdisciplinary team of CP professors presently teaches global service learning, team-oriented, project-based courses similar to MIT s  D-Lab .  CP D-Lab offers students cultural and historical appreciation of international development, hands-on appropriate technology prototyping, and sustainable business development.  SP has a history of strong community organization led by grass-roots organizations prioritizing education and community well-being.  In summer 2010, we visited SP and began codeveloping the proposed Guateca program with the SP community leaders with the following objectives: (1) to develop an experiential education program that is replicable, (2) to co-design, improve, and prototype technologies appropriate for SP, (3) to create student-lead businesses in SP to strengthen local and regional economy.  In the 2010-2011 academic year, multidisciplinary CP D-Lab E-Teams are developing the jointly proposed projects, supported by direct communication with corresponding student E-Teams in SP.  We seek funding for: (a) 10-day winter research trip in SP to jointly conduct ethnographic research to guide technology and business development in winter and spring, (b) Guateca, the two-month summer school, and (c) to support two Guatemalan exchange students at CP, who will mentor CP D-Lab courses, take additional classes, and become Guateca instructors.",1008024,Invited Resubmit,8024-10,0017000001LSVoGAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Affordable Design and Entrepreneurship,50000,Affordable Design and Entrepreneurship,Franklin W. Olin College of Engineering, ,2010-10-12,2010-10-18, , ,"Franklin W. Olin College of Engineering and Babson College are partnering with colleges and universities globally to create a multi-campus course titled ""Affordable Design and Entrepreneurship."" Students will work in distributed teams with communities to develop innovations to address poverty that generate income and meet daily human needs. Our strategy is to iteratively prototype and launch ventures that integrate product and venture design in collaboration with regional partners. To this end, the course is structured as a firm in which students manage a venture pipeline and advance product-venture combinations over multiple semesters. This grant will fund initial development and operations until the program becomes self-sustaining. Our three main objectives are to build an initial network of schools and community partners nationally and internationally, begin delivery of the course, and secure multi-year funding commitments from headline sponsors.",1008031,Invited Resubmit,8031-10,0017000001LSVu3AAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Development of an improved biomass briquette cooking fuel and press in Tanzania,46106,Development of an improved biomass briquette cooking fuel and press in Tanzania,Michigan Technological University, ,2010-10-13,2010-10-15, , ,"Nearly three billion people cook in their homes using traditional fires and stoves. Large amounts of aerosols and harmful gasses are emitted from domestic biomass burning globally every day. Variations in emissions occur depending on the combustion process and stove design as well as the condition and type of fuel used. Due to the increased difficulty of obtaining charcoal and wood because of a combination of deforestation and new governmental restrictions, alternative fuels are needed. In the Republic of Tanzania, greater than 95% of people cook with solid fuels, impacting their health and the environment. An improved cost-effective biomass cooking fuel is needed that has lower emissions and will also alleviate the pressure on local natural resources.       So, how might we develop an alternative fuel that is environmentally sustainable, socially acceptable, cost-effective, entrepreneurially rich, and reduces indoor air pollution health impacts for Tanzanians?      Through the implementation of the project s three main objectives:   * Design and develop a new carbonization and briquetting machine in coordination with a Tanzanian organization (CAMARTEC).   *Utilize CAMARTEC s current distribution channels throughout Tanzania during dissemination of the technology.   *Enhance CAMARTEC s research and design capabilities by establishing a stove and emissions testing facility and employing design thinking methodology.       With a market as large as those currently cooking with biomass, the impact of the program will be widespread. Initial implementation focuses on development in and around Arusha, Tanzania with anticipated expansion across East Africa.",1008053,Invited Resubmit,8053-10,0017000001LSVnYAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Green Technology for Sustainable Manufacturing of Poultry Vaccines for Farmers in the Developing World,50000,Green Technology for Sustainable Manufacturing of Poultry Vaccines for Farmers in the Developing World,University of California-Davis, ,2010-10-14,2010-10-18, , ,"Epidemics of recent emerging infectious diseases, such as the H1N1 pandemic, demand cost-efficient and scalable production technologies that can rapidly deliver effective therapeutics into the clinical setting.  Traditional vaccine manufacturers have trouble meeting these needs, as their manufacturing processes are slow and not economically scalable. Developing world populations are especially burdened by their lack of access to effective and inexpensive therapies.        SwiftVax, a technology developed at UC Davis, is a green production platform that relies on non-transgenic plants to produce animal and human vaccines efficiently and affordably. We are capable of rapidly producing large amounts of therapeutics with minimal investment compared to traditional vaccine production infrastructure.        Our mission is to develop a proof-of-concept that would bring vaccines produced with SwiftVax closer to market. The target product is an animal vaccine for Newcastle Disease, a devastating and highly pathogenic zoonotic disease in poultry. The disease threatens the livelihood of disadvantaged populations in Africa, to whom chickens represent the main source of food and income.         Program objectives:     Create educational value for the institution by drawing from our experience to expand undergraduate, graduate, and faculty training in innovation and entrepreneurship.     Use SwiftVax to express the HN protein of Newcastle Disease Virus in a laboratory scale and generate associated technological know-how: diagnostic tests for rapid assaying of expression levels, a protein purification scheme, and further improvements to the technology.     After optimizing the process on a laboratory scale, scale-up to pilot scale to perform proof-of-concept testing and generate data for cost-of-goods analysis.",1008072,Invited Resubmit,8072-10,0017000001LSVutAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
TThe Community-Based Rehabilitation Equalizer The ASU Convertible Mobility Hand Cycle,50000,TThe Community-Based Rehabilitation Equalizer The ASU Convertible Mobility Hand Cycle,Arizona State University, ,2010-10-15,2010-10-19, , ,"An ASU Bioengineering Design Team, along with its US non-profit partner, Sustainable Resources, Ltd and international partners with Bondo University College and St Joseph s Technical Institute for the Deaf in Kenya, plan to develop an entrepreneurial assistive device technology development strategy for the enhancement of rehabilitation technologies in low resource settings. The goal is to promote personal mobility and enhance the quality of life of the disabled by equalizing opportunities that would result in reduced poverty and increased social inclusion of people with disabilities. The strategy is to transfer an innovative rehabilitation technology, developed by a bioengineering capstone design team at ASU, that lends itself well to the community-based adoption of a universally convertible hand cycle mobility device that will be further developed by students and teachers of these Kenyan learning institutions. In doing so, it will provide a means to globalize engineering curricula through the foundations of STEM education in these African education centers through a joint international experiential service learning endeavor. The universal hand cycle is envisioned to offer diverse entrepreneurial opportunities and empower diverse groups of disabled people in Africa and other low resource settings in the world. The overall objectives are:      Enhance STEM Education in K-16 African Schools Via Experiential Curricula      Develop a Partnership with Kenyan Non-Profit Learning Institutions, Designated Kenyan Government Sectors For Profit Private Sectors to Create the Widespread Adoption of the Convertible hand Cycle      Improve the Quality of Life and Provide New Business Opportunities for the Disabled Living in Poverty   ",1008074,Invited Resubmit,8074-10,0017000001LSVsUAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Smart Phone Based ECG System,49955,Smart Phone Based ECG System,The University of Texas at San Antonio, ,2010-09-08,2010-10-15, , ,"Cardiovascular disease (CVD) is the leading cause of mortality worldwide. Many patients, especially those in rural areas of a developing country, die before presentation to a hospital. Those victims do not know that they are suffering fatal CVD and at high risks for impending heart attacks, because they are lack of routine health check-up. The rural areas are not easily accessible for doctors, especially if they have to carry bulky medical instrument with them.      In order to address this challenge, this team is developing a handheld electrocardiography (ECG) device based on current smart phone technology and a miniaturized electrical signal amplifier. Comparing with a conventional ECG system used in a hospital, the proposed handheld ECG is easily portable and has much lower cost. Such a device will not only be useful for a doctor to have a visit to rural areas by putting it in a small medical bag, but will also allow patients in a village to share it for a self check-up. The measurement results can be transmitted to trained physicians through the cell-phone based ECG, so that the results can be reviewed promptly by medical professionals and further diagnosis can be arranged if needed.  The team expect that the development of the smart phone based ECG will lead to a new home monitoring device. In contrast to the usage of conventional ECG only at hospitals, the proposed new device will open up a great opportunity for entering a large and fast-growing point-of-care diagnostics market.    ",1007827,Not Accepted,7827-10,0017000001LSVpZAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Desalination of Seawater Using Solar-Activated Nanostructured Materials,43800,Desalination of Seawater Using Solar-Activated Nanostructured Materials,Northern Illinois University, ,2010-09-18,2010-10-22, , ,Abstract - A percentage of the world's population resides on oceanic islands or in coastal regions that rely upon upon the collection of rainwater or the transport of potable water from inland regions. The objective of this project is to develop a desalination system for individual or collective use for those residing in these regions. The research objectives and outcomes are:      1) Investigate the adsorption energy and surface energy of nanostructured thin-films in the presence of monolayers containing saline and hyposaline ocean water.    2) Develop a nanotechnology-based thin-film system that receives energy from solar radiation to drive the desalination process and to efficiently process and collect drinking water.   3) Implement a product that can be economically manufactured and operated with minimal technical intervention and maintenance by persons or populations that demonstrate a need for low-cost potable water.,1007869,Not Accepted,7869-10,0017000001LSWzRAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Multi-Axis Optical Sensor as Seismic Early Warning Detection System,49500,Multi-Axis Optical Sensor as Seismic Early Warning Detection System,Northern Illinois University, ,2010-09-23,2010-10-22, , ,Large populations reside in geologically active regions that are subject to seismic activity. These populations rely upon upon the collection and dissemination of seismic data from regional or national government agencies. The process of advance warning has been historically minimal in poorly developed regions. The motivation for this project is to develop an ultra-sensitive seismic detection system for small communities in these regions. The research objectives and outcomes are:      1) Investigate the electromechanical response of an optical multi-axis sensor to longitudinal and compression forces generated by seismic events. A similar device is currently under investigation at our institution to detect and analyze human-generated vibration patterns.   2) Develop a minimal-power electronic system that detects and recognizes low frequency seismic energy patterns to provide an early-warning to at-risk populations. The devices have the potential to be interfaced to a wi-fi or cellular network to rapidly convey data.   3) Implement a product that can be economically manufactured and operated with minimal technical intervention and maintenance by persons or populations that demonstrate a need for low-cost seismic advance warning.,1007887,Not Accepted,7887-10,0017000001LSWzRAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Food for All: An Affordable and sustainable food production technology,49215,Food for All: An Affordable and sustainable food production technology,Colorado State University, ,2010-09-29,2010-10-18, , ,"Agriculture is facing a paradigm shift into nutritious food production, clean and renewable energy, adapting to climate change, conservation and efficient use of limited water, and preserving biodiversity. Surging population led to widespread economic disparities, developing countries in Africa and Asia are facing new challenges in meeting the basic needs (food, water and energy) for bottom of the pyramid population. Many of them will struggle to provide nutritious food, vital for the physical and mental development of children and young population.  Our inspiration for developing this technology is an opportunity to serve the hunger and widespread malnutrition  grow your own food kit  an affordable sustainable food production technology to serve both rural and urban the kit is easily usable and serviceable with less space for its installation and working. This innovative technology will help millions of people out of hunger and provide employment, healthy and productive life in rural and urban areas around the globe. In the first phase the kit will be market tested with the Non Profit from India, Network of Entrepreneurship & Economic Development (NEED).   Specific Objectives:   a. To create agriculture enterprises based innovative and affordable technology  grow your own food  kit.   b. To promote appropriate technology through experiential learning and entrepreneurship curriculum.    c. To incubate start-up as social venture with Network of Entrepreneurship & Economic Development (NEED), a nonprofit in India.   ",1007920,Not Accepted,7920-10,0017000001LSVvwAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Development of Medical Device Technologies for Neonates in Uganda,49965,Development of Medical Device Technologies for Neonates in Uganda,Columbia University in the City of New York, ,2010-09-30,2010-10-18, , ,"The Department of Biomedical Engineering (BME) at Columbia University, in collaboration with physicians at Mulago Hospital in Kampala, Uganda, is embarking on the development of diagnostic and therapeutic devices that will improve the care of neonates at Mulago and surrounding medical centers. The specific aims of this program are:      1.  To develop reliable, low-cost, easily-maintained neonatal care devices that are suitable for use in resource-poor settings. This development will take place within the setting of our undergraduate Biomedical Engineering Senior Design course.    2.  To have BME faculty and students travel to Uganda to field test devices and to identify new project needs that can be addressed in subsequent years.   3.  To develop sustainable business models for the devices developed.  BME students will learn about the social and economic issues that accompany biomedical technology design for developing nations, and foster collaborations with specialized personnel both in the U.S. and abroad. The Senior Design course will incorporate business aspects of medical device commercialization in developing nations. Partnerships with experts from small and large businesses engaged in product design for developing countries will be leveraged alongside interactions with Columbia Business School to explore workable business models.       Senior Design students are currently developing a variety of neonatal care devices, including jaundice detection and phototherapy units, neonatal point-of-care and transportation kits, and vital signs monitors. We propose that the NCIIA Sustainable Vision Grant will provide critical funding for development and firm establishment of our  Design for Global Health  program.    ",1007928,Not Accepted,7928-10,0017000001LSVo6AAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Building Sustainable Communities through Coffee,40619,Building Sustainable Communities through Coffee,Illinois Institute of Technology, ,2010-10-01,2010-10-15, , ,"Ugandan coffee farmers do not get the best prices for their crop   they are able to sell the top 10% of their beans to specialty exporters at top prices, but other grades are sold to middlemen at a loss. In order to sell their entire crop at the best possible prices, the farmers need to maintain the quality of their coffee and keep the origin of their crop easily traceable. Currently both are limited because farmers generally store their crop in their homes   often under their beds, literally like putting money in their mattresses - since coffee beans are traded as currency within the community. An interdisciplinary student team from the Interprofessional Projects Program at the Illinois Institute of Technology is working to assess the needs of Ugandan coffee farmers and devise low-tech solutions to increase the profitability of their entire crop. As a first step, the team plans to work hand-in-hand with the farmers to build community structures that will include a public space to weigh, sell, pulp, and dry coffee beans, as well as provide a secure facility to store and organize the crop before it is exported. In designing the structure, the team is taking into account the local customs of the Ugandan farmers, their ideas of security, and the socio-economic impact of a community instead of individual system of production. Made primarily with indigenous materials, the structure will initially include water reclamation and solar drying solutions, with ongoing investigation regarding energy and other solutions.   ",1007934,Not Accepted,7934-10,0017000001LSWAZAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Data collection systems for water treatment programs in developing communities,50000,Data collection systems for water treatment programs in developing communities,Portland State University, ,2010-10-03,2010-10-21, , ,"Nearly a billion people in the world lack access to safe drinking water. While thousands of organizations are working in this sector, quantitative, objective data on the performance of water treatment systems installed by organizations in developing communities is lacking. Most organizations self-report end-user interviews and spot-checks of water quality and system operation. At best, third party studies are conducted infrequently. These results tend to show success, while broader surveys indicate frequent failure in the sector. As a result, the end-users of water treatment systems rural, impoverished citizens continue to suffer from water-borne disease, even as their communities are advertised to donors as having been rid of this challenge.       This disconnect may be addressed through this proposal. The proposal objectives are:      Develop monitoring technologies that provide objective data on system performance and use and can be used to demonstrate success and identify failure.       Demonstrate a sophisticated remote monitoring system for community scale water treatment systems in rural Rwanda.      Demonstrate a simple and transparent monitoring system for a sample of the one million LifeStraw® Family water treatment units that will be deployed in western Kenya.       Customers include large donors, government aid organizations, and ultimately business investors who are seeking to identify successful implementation models and technologies. By demonstrating which water treatment technologies and programs are truly successful, these successes can be targeted for scaling, through savings realized by cutting unsuccessful approaches. This will benefit developing communities by providing proven water programs.",1007940,Not Accepted,7940-10,0017000001LSVpUAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Engineering Healthcare in Zambia: Combining Engineering Education with Scientific Entrepreneurship,50000,Engineering Healthcare in Zambia: Combining Engineering Education with Scientific Entrepreneurship,Boston University, ,2010-10-03,2010-10-21, , ,"Despite significant improvements in healthcare delivery indicators in Zambia, the disease burden has continued to rise. The lack of competent human and financial resources restricts the strengthening of the health system. The Government of the Republic of Zambia, in its commitment to revamp the healthsystem, is focussed on attracting and retaining experienced healthcare professionals. However, the cadre of local personnel with technical know-how on maintenance of medical equipment and development of appropriate, feasible medical technology is under-developed and has not been addressed.       This proposal aims to establish a culture of innovation within the country via the introduction of a context-specific biomedical engineering training module that complements the existing syllabus at the University of Zambia. The goal is to build technical and research capacities of students to develop technological solutions, significant to the Zambia context. Emphasis will be laid on developing real-time, practical training skills that translate ideas into innovation. The curriculum will train and mentor students in scientific entrepreneurship and will encourage students to take a hands-on approach to solving local technical problems.    ",1007941,Not Accepted,7941-10,0017000001LSVFGAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
"Eco-friendly areca nut plate production training and marketing  in the poor farming area of Karnataka, Southern India",42239,"Eco-friendly areca nut plate production training and marketing  in the poor farming area of Karnataka, Southern India",Pace University-New York, ,2010-10-04,2010-10-14, , ,"Eco-friendly areca nut plate production training and marketing in poor farming area of Karnataka, Southern India.      India is a nation of contradiction.  The nation is developing, yet the cities are buzzing with IT initiatives, and India is in the news for its exponential development in the IT industry. The technological revolution taking place in India's cities has largely bypassed rural areas.  Huge economic disparity between cities and villages is widening, which is leading to desperation in rural areas. The rural economy, if focused, has the potential to turn itself into a sustainable model and help India become a real developed nation.        Program Objectives        This program provides poor rural people in a southern Indian village intensive training in making disposable areca nut plates and cups from areca nut sheaths, which would otherwise go wasted. Additionally, the program will train them in basic marketing skills.         The program leads to the creation of an economically sustainable social venture for profit with a business model that includes manufacturing, marketing, and distribution. This program, which can easily be replicated, addresses poverty in rural Indian villages. It creates entrepreneurial opportunities and defines an economically sustainable business model, created using local collaboration.          The manufactured product is completely eco-friendly, biodegradable, and hygienic.  We hope its adoption will be widespread across communities, regions, and nations.  Moreover, it has potential for an impact on a global scale, because corporations, such as McDonald s, may also adopt this product for serving their customers located throughout the world. .   ",1007944,Not Accepted,7944-10,0017000001LSVuEAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Low Cost Cement Replacement Using Corn Ash for Masonry Mortar in Ghana,49875,Low Cost Cement Replacement Using Corn Ash for Masonry Mortar in Ghana,University of Missouri-Kansas City, ,2010-10-04,2010-10-11, , ,"The objective of this research project is to transition laboratory success using corn ash as a cement replacement to successful field trials in Ghana using corn ash in masonry. The building and road research institute in Ghana is interested in pilot trials producing cementitious corn ash using available rudimentary kilns. Structures will be constructed using cementitious materials produced during the pilot study and tested for durability. The government of Ghana is currently exploring non-traditional building materials to help extend cement supplies and maximize their limited construction budget. Successful completion of this project will provide an additional, high quality building option at a low cost. While the pilot project and coordination will be performed with the Ghanaian government, the technology and techniques are similar and could be applied across Africa.",1007945,Not Accepted,7945-10,0017000001LSVslAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Enhancement of bone healing for treating severe fractures prevalent in the developing countries,39441,Enhancement of bone healing for treating severe fractures prevalent in the developing countries,Washington State University, ,2010-10-04,2010-10-12, , ,"The proposal is for developing a piezoelectric device which is to speed the healing of fractured legs in third world countries. Severe fractures occur daily throughout those countries as a result of road traffic accidents, violence, and natural disasters. These fractures require surgery for proper healing, but many victims are too poor to afford surgical implants and local surgeons have little resources to treat complex fractures. In this regard, SIGN (Surgical Implant Generation Network- founded by Lewis Zirkle, MD) has been developing and donating intramedullary (IM) nails, and training surgeons in the developing nations so they can provide immediate surgical treatment to their patients to be soon able to walk and return to work to feed and care for their families. In addition to use IM nails for surgical intervention and structural support while the bone fractures heal, low-level electrical currents have long been known to accelerate the healing of bone fractures. To provide electrical stimulation there are commercially available devices for direct attachment to the bone but require external excitation and invasive procedures for use and removal.    This project proposes a piezoelectric device that could be placed inside the IM nail and use internal excitation of physiological loading. It requires only one surgery, that of implanting the IM nail itself.   Specific aims are to:     Develop a self-powered electric stimulating device that provides electric current up to 20 µA.     Validate the performance characteristics of the design in terms of voltage and current level required for bone cell proliferation.   ",1007946,Not Accepted,7946-10,0017000001LSVs1AAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Sustainable development of point-of-care medical technologies for improvement of global health,49326,Sustainable development of point-of-care medical technologies for improvement of global health,Western New England University, ,2010-10-05,2010-10-15, , ,"This proposal seeks funding in support of a global health initiative at Western New England College that aims to improve healthcare through the development of point-of-care medical technologies. The described program will bring together faculty and students from multiple disciplines, including engineering, business, and arts & sciences, to identify critical healthcare issues facing global communities. Due to our institution s ongoing commitment to sustainable development in Guatemala, we have selected that region as the focus of our efforts.    The major objectives of the program are:     Identification of critical healthcare issues facing communities in Guatemala     Development of point-of-care medical technologies that can address those healthcare issues     Sustainable production and implementation of devices in a non-profit format   The program will begin with a new interdisciplinary course in which students and faculty identify the major health problems worldwide and investigate issues specific to Guatemala. At the conclusion of the course, the students will embark on a faculty-led trip to Guatemala, where they will participate in an experiential learning opportunity and complete a health assessment of the region. The results of the health assessment will be used to generate medical device projects that will be completed by multidisciplinary teams of students in years 2 and 3 of the funding period. Particular emphasis will be placed on sustainable design of the point-of-care devices, which will be achieved through a non-profit business model that will enable the program to continue well beyond the initial funding period.   ",1007951,Not Accepted,7951-10,0017000001MBMESAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Smarter Solar: Improving the educational experience in Haiti through solar-powered technology in the schools,39600,Smarter Solar: Improving the educational experience in Haiti through solar-powered technology in the schools,Illinois Institute of Technology, ,2010-10-06,2010-10-14, , ,"The Haitian Ministry of Education received a donation of 11,000 One Laptop per Child Laptops, but lacks the resources to affordably provide schools with the capability to charge these laptops: the majority of schools across Haiti have no electricity. Our course-based team at IIT has partnered with the Ministry of Education/OLPC project, as well as with students and professors at the State University in Haiti. Our team will:     Design, build, prototype, and deploy a solar-powering solution for the schools at a lower price point than was previously available, taking advantage of such innovations as DC-only powering, and recalibrating of actual needs.     Ensure that our solution is scalable across not only the 40 schools in Haiti participating in the OLPC program, but to other OLPC projects and to other technology-in-schools programs around the developing world, thereby developing a sustainable business model so that this venture becomes a viable business proposition.   ",1007959,Not Accepted,7959-10,0017000001LSWAZAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Implementing pico-hydroelectric systems in the Ulpan Valley in Guatemala,23571,Implementing pico-hydroelectric systems in the Ulpan Valley in Guatemala,Vanderbilt University, ,2010-10-07,2010-10-14, , ,"The Ulpan Valley in Guatemala is comprised of poor, rural communities with little access to clean water and no access to electricity.  These types of communities are not unique to Guatemala, but are found all over the world. The absence of electricity extends far beyond a basic lack of access to computers, lights, and telephones, but instead forces communities to rely on burning wood and waste to fulfill their energy needs. This leads to poor air quality, inadequate sanitation, and significantly shorter life spans.  To solve this problem, we have created an interdisciplinary senior design project.  A team of civil and mechanical engineers will develop and create a pico-hydroelectric generator that will generate electricity as water from a local stream flows through the valley. This water will spin a turbine that will charge an automotive battery. The electricity generated will be used to power a local school.      Our main objectives are to:      · Design and develop a pico-hydroelectric power system and generator that can provide electricity small-scale building projects      · Power an education facility in the Ulpan Valley of Guatemala through the addition of a pico-hydroelectric generator system by utilizing local resources, community members, and sustainable training techniques      · Stimulate leadership amongst the youth through all phases of implementation by developing a sustainability curriculum to ensure that community members are given the necessary knowledge to work to lift themselves out of poverty, preserve their environment, and better the future of their region through sustainability",1007970,Not Accepted,7970-10,0017000001LSVDpAAP,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
PowerStove: Cooking for a Third of the World,49619,PowerStove: Cooking for a Third of the World,Rochester Institute of Technology, ,2010-10-08,2010-10-15, , ,"According to the World Health Organization, over 3 billion people depend on biomass for cooking. The use of biomass as fuel is the 2nd largest contributor to global warming, and exposure to inefficient and dirty stoves and fires is a leading health risk factor in developing countries.  In addition, the use of these stoves has also led to the decimation of numerous ecosystems and requires considerable time and financial resources.   Rochester Institute of Technology in partnership with H.O.P.E., an NGO serving Haiti, is designing, building, and testing more innovative, efficient, clean, and socially acceptable stoves that generate electrical power while developing sustainable microenterprises for fabrication and distribution of the advanced stoves throughout Haiti. Working with faculty, a team of multidisciplinary engineering students will engage in experiential learning to advance stove developments for emerging countries. Our goals are to cut stoves  fuel use in half, develop local businesses, and dramatically improve indoor air quality.  We now seek funding to:     Develop two additional generations of improved cook stoves based on feedback from field testing and continued needs/market assessment;     Conduct extensive field testing of the additional cook stove prototypes to measure the potential environmental, economic, and social impacts of adopting the improved stove; assess the local manufacturing options for further design improvements;     Implement three pilot projects for the creation of local microenterprises in Haiti and create an initiative for broadening the stove project to a national and regional level.   ",1007974,Not Accepted,7974-10,0017000001LSVoRAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Sustainable Alternate Source of Energy for Ghana,49781,Sustainable Alternate Source of Energy for Ghana,Pennsylvania State University-Main Campus, ,2010-10-08,2010-10-14, , ,"Penn State Wilkes-Barre (PSU-WB) and University of Education Winneba, Kumasi Campus (UEW-KC) in Ghana, propose using an innovation in solar technology to enhance the economic stability and general quality of life of average Ghanaians, especially those living in remote areas. US and Ghanaian faculty and students will show whether costs in converting solar energy to electrical energy can be reduced by using an amplifier to boost output from solar panels which will be converted to AC, thereby dramatically cutting the need for the number of solar panels and batteries in the conversion to electricity. The objective of the project is to design and build a demonstration converter to which household appliances can be connected.       US students will travel to Ghana on a study abroad program, with solar technology part of the experiential content. US students and their Ghanaian counterparts will receive training together and develop cross-cultural relationships. Entrepreneurship will be a component of the instructional program with the objective of attracting some Ghanaian students to engage in entrepreneurial activities in solar appliances. The PI will partner with students and faculty of UEW-KC to establish entrepreneurial activities and will provide technical expertise to the company that is created to ensure long-term sustainability. One of the objectives of the company that is formed will be to ensure that solar-based products are distributed across Ghana.      Expected outcomes:      reducing cost of converting solar energy to electricity;     providing experiential solar technology education;     partnering with Ghanaian students to engage in sustained entrepreneurial activities.   ",1007977,Not Accepted,7977-10,0017000001MBMSkAAP,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
